"","state","year","fte","kfc","roys","wendys","co_owned"
"1","New Jersey",1991,15,0,0,0,0
"2","New Jersey",1991,15,0,0,0,0
"3","New Jersey",1991,24,0,1,0,0
"4","New Jersey",1991,19.25,0,1,0,1
"5","New Jersey",1991,21.5,0,0,0,0
"6","New Jersey",1991,9.5,1,0,0,0
"7","New Jersey",1991,44,0,0,1,0
"8","New Jersey",1991,NA,0,0,0,0
"9","New Jersey",1991,21,0,0,0,0
"10","New Jersey",1991,28,0,0,1,0
"11","New Jersey",1991,10,0,0,1,0
"12","New Jersey",1991,20.5,0,0,0,0
"13","New Jersey",1991,25.5,0,1,0,1
"14","New Jersey",1991,19,0,0,1,0
"15","New Jersey",1991,16.5,0,0,0,0
"16","New Jersey",1991,17,0,0,0,1
"17","New Jersey",1991,27.5,0,0,0,1
"18","New Jersey",1991,5,0,1,0,1
"19","New Jersey",1991,16,1,0,0,0
"20","New Jersey",1991,41.5,0,0,0,0
"21","New Jersey",1991,13,1,0,0,1
"22","New Jersey",1991,10,1,0,0,0
"23","New Jersey",1991,15,1,0,0,0
"24","New Jersey",1991,26,0,1,0,0
"25","New Jersey",1991,18,0,0,1,0
"26","New Jersey",1991,35,0,1,0,0
"27","New Jersey",1991,21,0,1,0,1
"28","New Jersey",1991,34.5,0,0,1,0
"29","New Jersey",1991,18.25,0,0,1,0
"30","New Jersey",1991,24.5,0,0,1,0
"31","New Jersey",1991,20,0,0,0,0
"32","New Jersey",1991,16,0,0,0,1
"33","New Jersey",1991,17.5,1,0,0,0
"34","New Jersey",1991,20.5,0,0,1,0
"35","New Jersey",1991,20,0,0,1,0
"36","New Jersey",1991,12.25,1,0,0,1
"37","New Jersey",1991,33,0,1,0,0
"38","New Jersey",1991,31.5,0,1,0,0
"39","New Jersey",1991,NA,0,0,1,0
"40","New Jersey",1991,18,0,0,1,0
"41","New Jersey",1991,28,0,0,1,0
"42","New Jersey",1991,16.5,0,0,0,0
"43","New Jersey",1991,14.75,0,0,0,0
"44","New Jersey",1991,23.5,0,0,0,0
"45","New Jersey",1991,10,0,0,0,0
"46","New Jersey",1991,46.5,0,0,0,0
"47","New Jersey",1991,15.5,1,0,0,0
"48","New Jersey",1991,24.5,0,1,0,1
"49","New Jersey",1991,24,0,1,0,1
"50","New Jersey",1991,23,0,1,0,1
"51","New Jersey",1991,28,0,0,1,0
"52","New Jersey",1991,32.5,0,0,0,1
"53","New Jersey",1991,23,0,0,0,1
"54","New Jersey",1991,17,0,1,0,0
"55","New Jersey",1991,30,0,1,0,1
"56","New Jersey",1991,21.5,0,0,1,1
"57","New Jersey",1991,32,0,0,0,0
"58","New Jersey",1991,8,0,0,0,0
"59","New Jersey",1991,35.5,0,1,0,1
"60","New Jersey",1991,31.5,0,1,0,0
"61","New Jersey",1991,33,0,1,0,1
"62","New Jersey",1991,22,0,1,0,0
"63","New Jersey",1991,23,0,0,0,0
"64","New Jersey",1991,23,0,0,0,1
"65","New Jersey",1991,8.5,1,0,0,1
"66","New Jersey",1991,12.5,1,0,0,1
"67","New Jersey",1991,9.5,1,0,0,1
"68","New Jersey",1991,13,1,0,0,1
"69","New Jersey",1991,17,0,0,0,1
"70","New Jersey",1991,9,1,0,0,1
"71","New Jersey",1991,19,1,0,0,1
"72","New Jersey",1991,11.5,1,0,0,0
"73","New Jersey",1991,13,1,0,0,0
"74","New Jersey",1991,48,0,1,0,0
"75","New Jersey",1991,45.5,0,1,0,1
"76","New Jersey",1991,15,0,0,1,0
"77","New Jersey",1991,18,0,0,0,0
"78","New Jersey",1991,21,0,1,0,1
"79","New Jersey",1991,20.5,0,0,1,0
"80","New Jersey",1991,20.5,0,0,1,0
"81","New Jersey",1991,17.5,0,0,1,0
"82","New Jersey",1991,27.5,0,0,0,0
"83","New Jersey",1991,24,0,0,0,1
"84","New Jersey",1991,34,0,0,0,0
"85","New Jersey",1991,18,0,0,0,1
"86","New Jersey",1991,24,0,0,0,0
"87","New Jersey",1991,NA,0,1,0,1
"88","New Jersey",1991,33.5,0,0,1,1
"89","New Jersey",1991,12,0,0,1,1
"90","New Jersey",1991,35,0,0,0,0
"91","New Jersey",1991,35,0,0,0,0
"92","New Jersey",1991,16,0,0,0,0
"93","New Jersey",1991,15.5,1,0,0,0
"94","New Jersey",1991,19,0,1,0,0
"95","New Jersey",1991,24,0,1,0,0
"96","New Jersey",1991,NA,0,0,1,0
"97","New Jersey",1991,36,0,0,0,0
"98","New Jersey",1991,29,0,0,0,0
"99","New Jersey",1991,29,0,0,0,0
"100","New Jersey",1991,21.25,0,0,0,0
"101","New Jersey",1991,15.5,1,0,0,0
"102","New Jersey",1991,19.5,0,1,0,0
"103","New Jersey",1991,21,0,1,0,0
"104","New Jersey",1991,14,0,1,0,0
"105","New Jersey",1991,30.5,0,1,0,0
"106","New Jersey",1991,23.5,0,0,0,0
"107","New Jersey",1991,14,1,0,0,0
"108","New Jersey",1991,14.5,0,1,0,0
"109","New Jersey",1991,15.5,0,0,0,0
"110","New Jersey",1991,26.5,0,0,0,0
"111","New Jersey",1991,8,1,0,0,0
"112","New Jersey",1991,5.5,1,0,0,0
"113","New Jersey",1991,23.25,0,1,0,0
"114","New Jersey",1991,15.5,0,1,0,1
"115","New Jersey",1991,32.25,0,0,1,0
"116","New Jersey",1991,30,0,0,0,0
"117","New Jersey",1991,NA,0,0,0,1
"118","New Jersey",1991,30.5,0,0,0,0
"119","New Jersey",1991,14,0,0,0,0
"120","New Jersey",1991,27,0,0,0,0
"121","New Jersey",1991,18.5,0,0,0,0
"122","New Jersey",1991,38,0,0,0,0
"123","New Jersey",1991,16.5,0,0,0,0
"124","New Jersey",1991,50,0,0,0,0
"125","New Jersey",1991,20.5,0,0,0,0
"126","New Jersey",1991,6.5,1,0,0,0
"127","New Jersey",1991,13.5,1,0,0,0
"128","New Jersey",1991,28,0,1,0,1
"129","New Jersey",1991,21.5,0,1,0,1
"130","New Jersey",1991,NA,0,0,1,0
"131","New Jersey",1991,24,0,0,0,0
"132","New Jersey",1991,20.5,0,0,0,0
"133","New Jersey",1991,NA,0,0,0,0
"134","New Jersey",1991,23.5,0,0,0,0
"135","New Jersey",1991,23,0,0,0,1
"136","New Jersey",1991,17,0,0,0,1
"137","New Jersey",1991,20.5,0,0,0,1
"138","New Jersey",1991,23.5,1,0,0,0
"139","New Jersey",1991,9.5,1,0,0,0
"140","New Jersey",1991,10,1,0,0,0
"141","New Jersey",1991,14,1,0,0,0
"142","New Jersey",1991,85,0,1,0,1
"143","New Jersey",1991,15,0,1,0,0
"144","New Jersey",1991,21.5,0,1,0,0
"145","New Jersey",1991,53,0,0,1,0
"146","New Jersey",1991,24,0,0,0,0
"147","New Jersey",1991,20.5,0,0,0,0
"148","New Jersey",1991,14.5,0,0,0,1
"149","New Jersey",1991,25,0,0,0,0
"150","New Jersey",1991,27,0,1,0,0
"151","New Jersey",1991,22.5,0,0,0,0
"152","New Jersey",1991,36.5,0,0,0,0
"153","New Jersey",1991,17.25,0,0,0,0
"154","New Jersey",1991,21.5,0,0,0,0
"155","New Jersey",1991,24.5,0,0,0,0
"156","New Jersey",1991,19,0,0,0,1
"157","New Jersey",1991,25,0,0,0,0
"158","New Jersey",1991,16,0,0,0,0
"159","New Jersey",1991,19,1,0,0,0
"160","New Jersey",1991,22.75,0,1,0,1
"161","New Jersey",1991,35,0,1,0,1
"162","New Jersey",1991,16,0,1,0,1
"163","New Jersey",1991,21,0,1,0,0
"164","New Jersey",1991,26.75,0,1,0,1
"165","New Jersey",1991,30.5,0,1,0,1
"166","New Jersey",1991,23,0,0,1,0
"167","New Jersey",1991,21.5,0,0,1,0
"168","New Jersey",1991,36.5,0,0,1,0
"169","New Jersey",1991,23,0,0,0,0
"170","New Jersey",1991,14,0,0,0,0
"171","New Jersey",1991,17.25,0,0,0,0
"172","New Jersey",1991,18.5,0,0,0,0
"173","New Jersey",1991,8.5,1,0,0,0
"174","New Jersey",1991,14,1,0,0,0
"175","New Jersey",1991,23,0,1,0,1
"176","New Jersey",1991,29,0,0,1,0
"177","New Jersey",1991,19,0,0,0,0
"178","New Jersey",1991,21,0,0,0,1
"179","New Jersey",1991,17,0,0,0,0
"180","New Jersey",1991,36,0,0,0,0
"181","New Jersey",1991,25,0,0,0,0
"182","New Jersey",1991,29.5,0,0,0,0
"183","New Jersey",1991,22,1,0,0,1
"184","New Jersey",1991,11,1,0,0,0
"185","New Jersey",1991,13.5,1,0,0,0
"186","New Jersey",1991,13.5,1,0,0,0
"187","New Jersey",1991,18,1,0,0,0
"188","New Jersey",1991,9.5,1,0,0,0
"189","New Jersey",1991,24,0,1,0,0
"190","New Jersey",1991,14.5,0,1,0,0
"191","New Jersey",1991,29,0,0,1,0
"192","New Jersey",1991,10.5,0,0,1,0
"193","New Jersey",1991,18,0,0,1,0
"194","New Jersey",1991,NA,0,0,0,0
"195","New Jersey",1991,9,1,0,0,0
"196","New Jersey",1991,33,0,0,0,0
"197","New Jersey",1991,19.5,0,0,0,0
"198","New Jersey",1991,41,0,0,0,0
"199","New Jersey",1991,17,0,0,0,0
"200","New Jersey",1991,18.25,0,0,0,0
"201","New Jersey",1991,17,1,0,0,1
"202","New Jersey",1991,32,0,1,0,1
"203","New Jersey",1991,26,0,1,0,1
"204","New Jersey",1991,11.5,0,0,1,1
"205","New Jersey",1991,21,0,0,0,0
"206","New Jersey",1991,22.75,0,0,0,0
"207","New Jersey",1991,18.5,0,0,0,1
"208","New Jersey",1991,20,0,0,0,0
"209","New Jersey",1991,18,0,0,0,0
"210","New Jersey",1991,10.5,1,0,0,0
"211","New Jersey",1991,10.5,1,0,0,1
"212","New Jersey",1991,11,1,0,0,1
"213","New Jersey",1991,10.5,1,0,0,1
"214","New Jersey",1991,12.5,1,0,0,0
"215","New Jersey",1991,18,1,0,0,0
"216","New Jersey",1991,17,0,1,0,1
"217","New Jersey",1991,15,0,1,0,1
"218","New Jersey",1991,19.5,0,1,0,1
"219","New Jersey",1991,13,0,0,1,0
"220","New Jersey",1991,20.25,0,0,1,0
"221","New Jersey",1991,26,0,0,0,0
"222","New Jersey",1991,15.5,0,0,0,0
"223","New Jersey",1991,24,0,0,0,0
"224","New Jersey",1991,25.5,0,0,0,0
"225","New Jersey",1991,14.5,0,0,0,0
"226","New Jersey",1991,21.5,0,0,0,0
"227","New Jersey",1991,14,1,0,0,1
"228","New Jersey",1991,20,1,0,0,0
"229","New Jersey",1991,22.5,0,1,0,1
"230","New Jersey",1991,30,0,1,0,1
"231","New Jersey",1991,24,0,0,1,0
"232","New Jersey",1991,22,0,0,1,0
"233","New Jersey",1991,13,0,0,0,0
"234","New Jersey",1991,5,1,0,0,1
"235","New Jersey",1991,13.5,0,1,0,1
"236","New Jersey",1991,28,0,0,0,0
"237","New Jersey",1991,18,0,0,0,0
"238","New Jersey",1991,24,0,0,0,1
"239","New Jersey",1991,16.5,0,0,0,0
"240","New Jersey",1991,7,0,0,0,0
"241","New Jersey",1991,11,0,0,0,0
"242","New Jersey",1991,19.5,0,0,0,0
"243","New Jersey",1991,10,1,0,0,1
"244","New Jersey",1991,13,1,0,0,1
"245","New Jersey",1991,10,1,0,0,1
"246","New Jersey",1991,12.5,1,0,0,1
"247","New Jersey",1991,8,1,0,0,1
"248","New Jersey",1991,12,0,1,0,1
"249","New Jersey",1991,20.5,0,1,0,1
"250","New Jersey",1991,18.5,0,1,0,1
"251","New Jersey",1991,11.5,0,1,0,1
"252","New Jersey",1991,15,0,1,0,1
"253","New Jersey",1991,13,0,1,0,1
"254","New Jersey",1991,10,0,1,0,1
"255","New Jersey",1991,17,0,0,1,0
"256","New Jersey",1991,17,0,0,1,0
"257","New Jersey",1991,20.5,0,0,1,0
"258","New Jersey",1991,15.5,0,0,0,0
"259","New Jersey",1991,19.5,0,0,0,1
"260","New Jersey",1991,30.5,0,1,0,1
"261","New Jersey",1991,23,0,1,0,0
"262","New Jersey",1991,13,0,1,0,1
"263","New Jersey",1991,30.25,0,1,0,1
"264","New Jersey",1991,18,0,0,1,0
"265","New Jersey",1991,10,0,0,0,0
"266","New Jersey",1991,19.5,0,0,0,0
"267","New Jersey",1991,17,0,0,0,0
"268","New Jersey",1991,25.5,0,0,0,1
"269","New Jersey",1991,6,0,0,0,0
"270","New Jersey",1991,11.5,1,0,0,0
"271","New Jersey",1991,8.5,1,0,0,0
"272","New Jersey",1991,18.5,0,1,0,1
"273","New Jersey",1991,15.5,0,1,0,1
"274","New Jersey",1991,14.25,0,0,0,0
"275","New Jersey",1991,38,0,0,0,0
"276","New Jersey",1991,24.75,0,0,0,1
"277","New Jersey",1991,23,0,0,0,1
"278","New Jersey",1991,24,0,0,0,0
"279","New Jersey",1991,7.5,1,0,0,1
"280","New Jersey",1991,15,1,0,0,1
"281","New Jersey",1991,9.25,1,0,0,1
"282","New Jersey",1991,11.25,0,1,0,1
"283","New Jersey",1991,16.5,0,1,0,1
"284","New Jersey",1991,18.75,0,1,0,1
"285","New Jersey",1991,13.5,0,1,0,1
"286","New Jersey",1991,21.75,0,1,0,1
"287","New Jersey",1991,13.5,0,0,1,0
"288","New Jersey",1991,15,0,0,0,1
"289","New Jersey",1991,17.5,0,0,0,0
"290","New Jersey",1991,17.5,0,0,0,0
"291","New Jersey",1991,NA,1,0,0,0
"292","New Jersey",1991,15.5,1,0,0,0
"293","New Jersey",1991,16.5,1,0,0,0
"294","New Jersey",1991,13.5,0,1,0,0
"295","New Jersey",1991,13,0,0,1,0
"296","New Jersey",1991,11.5,0,0,0,1
"297","New Jersey",1991,29.05,0,0,0,0
"298","New Jersey",1991,13,0,0,0,0
"299","New Jersey",1991,18,0,0,0,0
"300","New Jersey",1991,30,0,0,0,0
"301","New Jersey",1991,20.5,0,0,0,0
"302","New Jersey",1991,10,0,0,0,0
"303","New Jersey",1991,NA,0,0,0,0
"304","New Jersey",1991,26,0,0,0,0
"305","New Jersey",1991,12.5,0,0,0,0
"306","New Jersey",1991,19.5,1,0,0,0
"307","New Jersey",1991,12,1,0,0,1
"308","New Jersey",1991,36,0,1,0,1
"309","New Jersey",1991,21,0,1,0,1
"310","New Jersey",1991,24.5,0,1,0,1
"311","New Jersey",1991,20,0,1,0,1
"312","New Jersey",1991,26.5,0,1,0,1
"313","New Jersey",1991,15,0,1,0,0
"314","New Jersey",1991,19,0,1,0,1
"315","New Jersey",1991,17.5,0,1,0,1
"316","New Jersey",1991,20.5,0,0,0,0
"317","New Jersey",1991,21,0,0,0,0
"318","New Jersey",1991,10.5,1,0,0,0
"319","New Jersey",1991,23,0,0,0,0
"320","New Jersey",1991,23,0,0,0,0
"321","New Jersey",1991,29,0,0,0,0
"322","New Jersey",1991,21,0,0,0,1
"323","New Jersey",1991,41.5,0,0,0,0
"324","New Jersey",1991,12,1,0,0,1
"325","New Jersey",1991,33,1,0,0,1
"326","New Jersey",1991,6.5,1,0,0,0
"327","New Jersey",1991,9,1,0,0,1
"328","New Jersey",1991,9.75,1,0,0,1
"329","New Jersey",1991,24.5,0,1,0,1
"330","New Jersey",1991,14,0,0,1,0
"331","New Jersey",1991,19.5,0,0,1,0
"332","New Jersey",1993,27,0,0,0,0
"333","New Jersey",1993,21.5,0,0,0,0
"334","New Jersey",1993,23,0,1,0,0
"335","New Jersey",1993,21.5,0,1,0,1
"336","New Jersey",1993,34.5,0,0,0,0
"337","New Jersey",1993,10.5,1,0,0,0
"338","New Jersey",1993,16.5,0,0,1,0
"339","New Jersey",1993,23,0,0,0,0
"340","New Jersey",1993,38,0,0,0,0
"341","New Jersey",1993,36,0,0,1,0
"342","New Jersey",1993,16,0,0,1,0
"343","New Jersey",1993,20.5,0,0,0,0
"344","New Jersey",1993,19,0,1,0,1
"345","New Jersey",1993,53,0,0,1,0
"346","New Jersey",1993,16.5,0,0,0,0
"347","New Jersey",1993,16.5,0,0,0,1
"348","New Jersey",1993,45,0,0,0,1
"349","New Jersey",1993,8,0,1,0,1
"350","New Jersey",1993,15.5,1,0,0,0
"351","New Jersey",1993,24,0,0,0,0
"352","New Jersey",1993,7.5,1,0,0,1
"353","New Jersey",1993,7.5,1,0,0,0
"354","New Jersey",1993,18.5,1,0,0,0
"355","New Jersey",1993,16.5,0,1,0,0
"356","New Jersey",1993,33.5,0,0,1,0
"357","New Jersey",1993,37,0,1,0,0
"358","New Jersey",1993,18,0,1,0,1
"359","New Jersey",1993,26.5,0,0,1,0
"360","New Jersey",1993,33,0,0,1,0
"361","New Jersey",1993,NA,0,0,1,0
"362","New Jersey",1993,20.5,0,0,0,0
"363","New Jersey",1993,24.5,0,0,0,1
"364","New Jersey",1993,16,1,0,0,0
"365","New Jersey",1993,NA,0,0,1,0
"366","New Jersey",1993,23.5,0,0,1,0
"367","New Jersey",1993,13,1,0,0,1
"368","New Jersey",1993,20,0,1,0,0
"369","New Jersey",1993,22,0,1,0,0
"370","New Jersey",1993,28.5,0,0,1,0
"371","New Jersey",1993,NA,0,0,1,0
"372","New Jersey",1993,25.5,0,0,1,0
"373","New Jersey",1993,18,0,0,0,0
"374","New Jersey",1993,9,0,0,0,0
"375","New Jersey",1993,26.5,0,0,0,0
"376","New Jersey",1993,0,0,0,0,0
"377","New Jersey",1993,23.75,0,0,0,0
"378","New Jersey",1993,18,1,0,0,0
"379","New Jersey",1993,36,0,1,0,1
"380","New Jersey",1993,21,0,1,0,1
"381","New Jersey",1993,15.5,0,1,0,1
"382","New Jersey",1993,22.5,0,0,1,0
"383","New Jersey",1993,27,0,0,0,1
"384","New Jersey",1993,34,0,0,0,1
"385","New Jersey",1993,16.75,0,1,0,0
"386","New Jersey",1993,26,0,1,0,1
"387","New Jersey",1993,18,0,0,1,1
"388","New Jersey",1993,20.5,0,0,0,0
"389","New Jersey",1993,15,0,0,0,0
"390","New Jersey",1993,25.5,0,1,0,1
"391","New Jersey",1993,NA,0,1,0,0
"392","New Jersey",1993,20,0,1,0,1
"393","New Jersey",1993,18,0,1,0,0
"394","New Jersey",1993,26.5,0,0,0,0
"395","New Jersey",1993,23.25,0,0,0,1
"396","New Jersey",1993,10.5,1,0,0,1
"397","New Jersey",1993,12,1,0,0,1
"398","New Jersey",1993,9.5,1,0,0,1
"399","New Jersey",1993,15.5,1,0,0,1
"400","New Jersey",1993,14.5,0,0,0,1
"401","New Jersey",1993,14,1,0,0,1
"402","New Jersey",1993,6.5,1,0,0,1
"403","New Jersey",1993,10,1,0,0,0
"404","New Jersey",1993,11.5,1,0,0,0
"405","New Jersey",1993,46.5,0,1,0,0
"406","New Jersey",1993,26.5,0,1,0,1
"407","New Jersey",1993,16,0,0,1,0
"408","New Jersey",1993,13,0,0,0,0
"409","New Jersey",1993,14,0,1,0,1
"410","New Jersey",1993,15.5,0,0,1,0
"411","New Jersey",1993,18,0,0,1,0
"412","New Jersey",1993,27,0,0,1,0
"413","New Jersey",1993,27,0,0,0,0
"414","New Jersey",1993,29.5,0,0,0,1
"415","New Jersey",1993,16.5,0,0,0,0
